epoch,step,test_f1,test_loss,train_f1,train_loss,val_f1,val_loss
0,249,,,,,0.23422910273075104,1.3111974000930786
0,249,,,0.15237031877040863,1.383230447769165,,
1,499,,,,,0.21652762591838837,1.3521196842193604
1,499,,,0.16375219821929932,1.3533421754837036,,
2,749,,,,,0.24684204161167145,1.2960240840911865
2,749,,,0.1948484629392624,1.3143378496170044,,
3,999,,,,,0.1172274649143219,1.3013198375701904
3,999,,,0.17400982975959778,1.292901635169983,,
4,1249,,,,,0.243220254778862,1.331974744796753
4,1249,,,0.1774069368839264,1.3289222717285156,,
5,1499,,,,,0.23906055092811584,1.3161076307296753
5,1499,,,0.20568619668483734,1.2946912050247192,,
6,1749,,,,,0.24849845468997955,1.3177783489227295
6,1749,,,0.18587996065616608,1.2783557176589966,,
7,1999,,,,,0.2216339409351349,1.3082342147827148
7,1999,,,0.19305925071239471,1.2570827007293701,,
8,2249,,,,,0.22618117928504944,1.3116374015808105
8,2249,,,0.2122243195772171,1.2738888263702393,,
9,2499,,,,,0.22093945741653442,1.316149115562439
9,2499,,,0.18755052983760834,1.2685726881027222,,
10,2749,,,,,0.23408536612987518,1.3112616539001465
10,2749,,,0.213887557387352,1.264554500579834,,
11,2999,,,,,0.21367473900318146,1.3205511569976807
11,2999,,,0.18917636573314667,1.2676334381103516,,
12,3249,,,,,0.23665572702884674,1.3184304237365723
12,3249,,,0.20105862617492676,1.264639139175415,,
13,3499,,,,,0.22519876062870026,1.3184791803359985
13,3499,,,0.21131174266338348,1.2446452379226685,,
14,3749,,,,,0.23043622076511383,1.321112036705017
14,3749,,,0.21815331280231476,1.2601548433303833,,
15,3999,,,,,0.2296566218137741,1.3180803060531616
15,3999,,,0.21394330263137817,1.2483835220336914,,
16,4249,,,,,0.22374498844146729,1.3170301914215088
16,4249,,,0.21775254607200623,1.269059658050537,,
17,4499,,,,,0.22726652026176453,1.318414330482483
17,4499,,,0.21053418517112732,1.250730037689209,,
18,4500,0.24979031085968018,1.32059645652771,,,,
